task,accuracy,num_correct,num_total,scaling_mode,sw_alpha,sw_alpha0,sw_lambda,path
boolq,0.554,277,500,,1.5,,,results/olmo1b/exp_sw_awq/boolq_alpha_1_5.json
boolq,0.582,291,500,,2.0,,,results/olmo1b/exp_sw_awq/boolq_alpha_2_0.json
boolq,0.544,272,500,,1.0,,,results/olmo1b/exp_sw_awq/boolq_alpha_1_0.json
boolq,0.5,250,500,,0.5,,,results/olmo1b/exp_sw_awq/boolq_alpha_0_5.json
boolq,0.574,287,500,,3.0,,,results/olmo1b/exp_sw_awq/boolq_alpha_3_0.json
boolq,0.572,286,500,,2.5,,,results/olmo1b/exp_sw_awq/boolq_alpha_2_5.json
boolq,0.546,273,500,,1.0,,,results/olmo1b/exp_sw_awq/boolq_awq_baseline.json
hellaswag,0.408,204,500,,3.0,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_3_0.json
hellaswag,0.416,208,500,,1.0,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_1_0.json
hellaswag,0.418,209,500,,2.0,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_2_0.json
hellaswag,0.42,210,500,,2.5,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_2_5.json
hellaswag,0.386,193,500,,0.5,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_0_5.json
hellaswag,0.422,211,500,,1.5,,,results/olmo1b/exp_sw_awq/hellaswag_alpha_1_5.json
hellaswag,0.416,208,500,exponential,1.0,1.0,0.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_0_lambda_0_0.json
hellaswag,0.416,208,500,exponential,1.0,1.0,0.25,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_0_lambda_0_25.json
hellaswag,0.416,208,500,exponential,1.0,1.0,0.5,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_0_lambda_0_5.json
hellaswag,0.416,208,500,exponential,1.0,1.0,0.75,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_0_lambda_0_75.json
hellaswag,0.416,208,500,exponential,1.0,1.0,1.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_0_lambda_1_0.json
hellaswag,0.422,211,500,exponential,1.0,1.5,0.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_5_lambda_0_0.json
hellaswag,0.422,211,500,exponential,1.0,1.5,0.25,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_5_lambda_0_25.json
hellaswag,0.422,211,500,exponential,1.0,1.5,0.5,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_5_lambda_0_5.json
hellaswag,0.422,211,500,exponential,1.0,1.5,0.75,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_5_lambda_0_75.json
hellaswag,0.422,211,500,exponential,1.0,1.5,1.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_1_5_lambda_1_0.json
hellaswag,0.418,209,500,exponential,1.0,2.0,0.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_0_lambda_0_0.json
hellaswag,0.418,209,500,exponential,1.0,2.0,0.25,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_0_lambda_0_25.json
hellaswag,0.418,209,500,exponential,1.0,2.0,0.5,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_0_lambda_0_5.json
hellaswag,0.418,209,500,exponential,1.0,2.0,0.75,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_0_lambda_0_75.json
hellaswag,0.418,209,500,exponential,1.0,2.0,1.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_0_lambda_1_0.json
hellaswag,0.42,210,500,exponential,1.0,2.5,0.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_5_lambda_0_0.json
hellaswag,0.42,210,500,exponential,1.0,2.5,0.25,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_5_lambda_0_25.json
hellaswag,0.42,210,500,exponential,1.0,2.5,0.5,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_5_lambda_0_5.json
hellaswag,0.42,210,500,exponential,1.0,2.5,0.75,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_5_lambda_0_75.json
hellaswag,0.42,210,500,exponential,1.0,2.5,1.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_2_5_lambda_1_0.json
hellaswag,0.408,204,500,exponential,1.0,3.0,0.0,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_3_0_lambda_0_0.json
hellaswag,0.408,204,500,exponential,1.0,3.0,0.25,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_3_0_lambda_0_25.json
hellaswag,0.408,204,500,exponential,1.0,3.0,0.5,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_3_0_lambda_0_5.json
hellaswag,0.408,204,500,exponential,1.0,3.0,0.75,results/olmo1b/exp_sw_awq_hellaswag/hellaswag_exp_alpha0_3_0_lambda_0_75.json
