model,task,category,metric,superweight_id,ablated_model_prefix,layer,row,col,baseline_score,ablated_score,delta_abs,delta_rel
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw1,sw1_ablated_model,2,525,808,0.7,0.665,0.03499999999999992,0.04999999999999989
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw2,sw2_ablated_model,2,1693,808,0.7,0.685,0.014999999999999902,0.02142857142857129
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw3,sw3_ablated_model,2,1113,808,0.7,0.685,0.014999999999999902,0.02142857142857129
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw4,sw4_ablated_model,4,525,2723,0.7,0.675,0.02499999999999991,0.03571428571428559
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw5,sw5_ablated_model,4,1113,2723,0.7,0.685,0.014999999999999902,0.02142857142857129
phi3,mgsm_direct_en,math,"exact_match,flexible-extract",sw6,sw6_ablated_model,4,1693,2723,0.7,0.65,0.04999999999999993,0.07142857142857134
phi3,hellaswag,reasoning,"acc,none",sw1,sw1_ablated_model,2,525,808,0.525,0.515,0.010000000000000009,0.019047619047619063
phi3,hellaswag,reasoning,"acc,none",sw2,sw2_ablated_model,2,1693,808,0.525,0.52,0.0050000000000000044,0.009523809523809532
phi3,hellaswag,reasoning,"acc,none",sw3,sw3_ablated_model,2,1113,808,0.525,0.52,0.0050000000000000044,0.009523809523809532
phi3,hellaswag,reasoning,"acc,none",sw4,sw4_ablated_model,4,525,2723,0.525,0.515,0.010000000000000009,0.019047619047619063
phi3,hellaswag,reasoning,"acc,none",sw5,sw5_ablated_model,4,1113,2723,0.525,0.52,0.0050000000000000044,0.009523809523809532
phi3,hellaswag,reasoning,"acc,none",sw6,sw6_ablated_model,4,1693,2723,0.525,0.515,0.010000000000000009,0.019047619047619063
phi3,sciq,knowledge,"acc,none",sw1,sw1_ablated_model,2,525,808,0.96,0.97,-0.010000000000000009,-0.010416666666666676
phi3,sciq,knowledge,"acc,none",sw2,sw2_ablated_model,2,1693,808,0.96,0.975,-0.015000000000000013,-0.015625000000000014
phi3,sciq,knowledge,"acc,none",sw3,sw3_ablated_model,2,1113,808,0.96,0.97,-0.010000000000000009,-0.010416666666666676
phi3,sciq,knowledge,"acc,none",sw4,sw4_ablated_model,4,525,2723,0.96,0.97,-0.010000000000000009,-0.010416666666666676
phi3,sciq,knowledge,"acc,none",sw5,sw5_ablated_model,4,1113,2723,0.96,0.97,-0.010000000000000009,-0.010416666666666676
phi3,sciq,knowledge,"acc,none",sw6,sw6_ablated_model,4,1693,2723,0.96,0.965,-0.0050000000000000044,-0.005208333333333338
phi3,lambada_openai,causal,"acc,none",sw1,sw1_ablated_model,2,525,808,0.685,0.65,0.03500000000000003,0.05109489051094895
phi3,lambada_openai,causal,"acc,none",sw2,sw2_ablated_model,2,1693,808,0.685,0.675,0.010000000000000009,0.014598540145985413
phi3,lambada_openai,causal,"acc,none",sw3,sw3_ablated_model,2,1113,808,0.685,0.68,0.0050000000000000044,0.0072992700729927066
phi3,lambada_openai,causal,"acc,none",sw4,sw4_ablated_model,4,525,2723,0.685,0.66,0.025000000000000022,0.036496350364963535
phi3,lambada_openai,causal,"acc,none",sw5,sw5_ablated_model,4,1113,2723,0.685,0.685,0.0,0.0
phi3,lambada_openai,causal,"acc,none",sw6,sw6_ablated_model,4,1693,2723,0.685,0.68,0.0050000000000000044,0.0072992700729927066
